Postcode,HealthBoard
AB1 1DJ,S08000020
AB1 1DL,S08000020
AB1 1EE,S08000020
AB1 1EF,S08000020
AB1 1EG,S08000020
AB1 1EH,S08000020
AB1 1EJ,S08000020
AB1 1FE,S08000020
AB1 1FF,S08000020
AB1 1FG,S08000020
AB1 1FH,S08000020
AB1 1HA,S08000020
AB1 1HW,S08000020
AB1 1HW,S08000020
AB1 1HX,S08000020
AB1 1HY,S08000020
AB1 1HZ,S08000020
AB1 1JP,S08000020
AB1 1JQ,S08000020
AB1 1JR,S08000020
AB1 1JS,S08000020
AB1 1JT,S08000020
AB1 1LQ,S08000020
AB1 1LR,S08000020
AB1 1LS,S08000020
AB1 1LT,S08000020
AB1 1LU,S08000020
AB1 1NH,S08000020
AB1 1NJ,S08000020
AB1 1NL,S08000020
AB1 1NN,S08000020
AB1 1NP,S08000020
AB1 1PP,S08000020
AB1 1PQ,S08000020
AB1 1PR,S08000020
AB1 1PS,S08000020
AB1 1PT,S08000020
AB1 1QD,S08000020
AB1 1QE,S08000020
AB1 1QH,S08000020
AB1 1QJ,S08000020
AB1 1QL,S08000020
AB1 1LG,S08000020
AB1 1LH,S08000020
AB1 1LL,S08000020
AB1 1LN,S08000020
AB1 1LP,S08000020
AB1 1NQ,S08000020
AB1 1NR,S08000020
AB1 1NS,S08000020
AB1 1NT,S08000020
AB1 1NU,S08000020
AB1 1PU,S08000020
AB1 1PX,S08000020
AB1 1PY,S08000020
AB1 1QA,S08000020
AB1 1QB,S08000020
AB1 1QZ,S08000020
AB1 1RA,S08000020
AB1 1RB,S08000020
AB1 1RD,S08000020
AB1 1RE,S08000020
AB1 1RF,S08000020
AB1 1RH,S08000020
AB1 1RJ,S08000020
AB1 1RL,S08000020
AB1 1RN,S08000020
AB1 1SJ,S08000020
AB1 1SL,S08000020
AB1 1SN,S08000020
AB1 1SP,S08000020
AB1 1SQ,S08000020
AB1 1TP,S08000020
AB1 1TQ,S08000020
AB1 1TR,S08000020
AB1 1TS,S08000020
AB1 1TT,S08000020
AB1 1JU,S08000020
AB1 1JW,S08000020
AB1 1JX,S08000020
AB1 1JY,S08000020
AB1 1JZ,S08000020
AB1 1NB,S08000020
AB1 1ND,S08000020
AB1 1ND,S08000020
AB1 1NE,S08000020
AB1 1NG,S08000020
AB1 1PF,S08000020
AB1 1PG,S08000020
AB1 1PJ,S08000020
